temRT,temHashtag,temUser,temURL,temLetraRepetid,numeroLetrasRepetidas,temPontoInterrogacao,temPontoExclamaco,EmojisPositivo,EmojisNegativo,quantidadePalavras,quantidadePalavrasQueIniciamMaiusculas,quantidadePalavrastodasAsLetrasMaiusculas,quantidadeLetrasMaiusculas,quantidadePontosInterogacao,quantidadePontosExclamacao,quantidadeEmojisPositivos,quantidadeEmojisNegativos,mediaCharacteresPorPalavra,tweet,classe
0,0,0,1,1,3,0,0,0.0,0.0,16.0,11.0,3.0,19.0,0.0,0.0,0.0,0.0,8.0,BairesDev oferece vaga para Amazonas-AMEngenheiro Python Backend Pesquisa E Desenvolvimento Trabalho Remoto Ref 0071P RD https://t.co/Qdv09muxZ6,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,fora que ser disruptivo pra eles significa apenas trabalho remoto e apoio às minorias mas obviamente os que estão no comando são um bando de homem branco então de disruptiva a agência não tem nada,NEGATIVO
0,0,0,1,1,3,0,0,0.0,0.0,12.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,Globo abre vagas para trabalho remoto ou presencial – Hora Brasil https://t.co/LmaiBKjPWW,NEUTRO
0,0,0,0,0,0,0,1,0.0,0.0,42.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,"🔹O onboarding - conjunto de iniciativas para receber uma nova pessoa na empresa - não é um tema novo mas ainda há muita dificuldade em aplicá-lo, principalmente no modelo de trabalho remoto. Separei algumas infos sobre essa etapa, cola na thread! ⬇️",NEUTRO
0,0,0,1,1,4,0,0,0.0,0.0,12.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,"Analista Comercial Júnior - São Paulo
Amicci

Trabalho remoto
Mais no link:https://t.co/gwM8AeiaSa",NEUTRO
0,0,1,0,0,0,0,0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,"@silvia_rcr Home office, aprendizado e pessoas",POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,"@cesarcalejon1 Constantino, do alto do seu revolucionarismo em home-office, acredita que nunca será punido pro isto.",POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,19.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,"O trabalho remoto chegou mesmo pra ficar ein, permitindo até a volta do Blink182 tocando com o Tom DeLonge",POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,tão mal acostumado com o trabalho remoto que pra cada dia de trabalho presencial preciso de pelo menos duas semanas pra me recuperar,NEGATIVO
0,0,0,1,0,0,0,0,0.0,0.0,14.0,10.0,4.0,21.0,0.0,0.0,0.0,0.0,6.0,BairesDev oferece vaga para Piauí-PIAgile Coach P D Trabalho Remoto Ref P RD https://t.co/ILPiZkylRA,NEUTRO
0,1,0,1,0,0,0,0,0.0,0.0,12.0,7.0,5.0,33.0,0.0,0.0,0.0,0.0,6.0,ANALISTA DE RECURSOS HUMANOS PL - Remoto - Cmio - https://t.co/hDa9wBsmoh #TrabalhoRemoto,NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,13.0,9.0,1.0,15.0,0.0,0.0,0.0,0.0,7.0,"Desenvolvedor Backend Pleno
PontalTech

Trabalho remoto in São Paulo, SP
Mais no link:https://t.co/foDNlSgY29",NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,desvantagens do home office: não há,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,12.0,7.0,1.0,17.0,0.0,0.0,0.0,0.0,8.0,BairesDev oferece vaga para Amazonas-AMDesenvolvedor Node Autêntico Trabalho Remoto Ref 0111P https://t.co/cs6UTmTUKq,NEUTRO
0,0,0,1,0,0,0,0,0.0,0.0,13.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,Loja no Cabo Branco oferece espaço confortável para estudos e trabalho remoto https://t.co/UdDfxEvyIZ,NEUTRO
0,0,0,1,1,6,0,0,0.0,0.0,13.0,8.0,2.0,18.0,0.0,0.0,0.0,0.0,7.0,BairesDev oferece vaga para São Paulo-SPPessoa Desenvolvedora NET Trabalho Remoto Ref 0001P https://t.co/Gc2acbc9KW,NEUTRO
0,0,0,0,1,3,0,0,0.0,0.0,44.0,5.0,2.0,13.0,0.0,0.0,0.0,0.0,5.0,"Uma coisa que não dá pra entender. Brasília foi umas das primeiras a colocar seus funcionários em HOME OFICE, agora que o vírus está se alastrando, fizeram nada. Na sede dos correios, tá cheio de empregados contaminados..Acorda governador e presidente do correios . 🙏🏻🙏🏻🙏🏻",NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,trabalhando de sunga pra pular na piscina em qualquer momento que eu tiver um intervalinho home office te amo tanto 🙏🏽,POSITIVO
0,1,1,1,1,8,0,0,0.0,0.0,34.0,9.0,1.0,22.0,0.0,0.0,0.0,0.0,7.0,"#Citando @adigaskell da Forbes sobre como #RealidadeVirtual não é o bálsamo para #trabalho #remoto que muitos desejam...

Cc: Castroalonso #Direito #Ética e #Confiança #Digital
Arco Atlântico Cibersegurança e Ambiente Digital

AEI em segurança cibernética…https://t.co/roHHfc1ROp",POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,19.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,6.0,"Ringa-4945625/2 - desenvolvedor back end python junior
Netvagas - (3804791029)

Trabalho remoto in São Carlos, RS
Mais no link:https://t.co/9ZKLqzfKsO",NEUTRO
0,0,1,0,0,0,0,0,0.0,0.0,11.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,@direitasiqueira Taí. Trabalho remoto. Os paulistanos sempre na vanguarda da estupidez.,NEGATIVO
0,0,0,0,1,3,0,0,0.0,0.0,21.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,"A meta do ano que vem é ""simples"":

Comprar um Blue Yeti, microfone profissional aprovado pra home office até pela Netflix",POSITIVO
0,0,0,0,1,3,0,0,0.0,0.0,36.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,"Então, se eu sou um profissional que posso escolher entre trabalhar em uma empresa que me oferece trabalho 100% remoto, com todos meus direitos, ou com um bom salário (as vezes em dólar) e projetos legais,",POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,@rkoerich Trabalho remoto: fazer reunião pelo celular na praia,POSITIVO
0,0,0,0,0,0,1,0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,demorar mais pra ir pra home office? sim mas nao vou dizer que tenho computador vai que eles dao block nos meus jogo,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,"Ainda bem que meu trabalho é remoto, pq tem dias que eu facilmente seria presa por agredir um colega de trabalho/fornecedor/cliente.",POSITIVO
0,0,0,1,1,8,0,0,0.0,0.0,33.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,"Musk disse aos funcionários do Twitter que o trabalho remoto deixa de ser permitido, a menos que ele o aprove pessoalmente. Empresário quer que subscrições representem metade da receita da plataforma.
https://t.co/HE8QQNHAeZ https://t.co/kjDORsVZfK",NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,eu devia ter ido pro marketing gravar vídeo de tiktok em home ofice,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Amém home office de amanhã,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,14.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,6.0,"Analista de Suporte Jr.
eNotas

Trabalho remoto in Belo Horizonte, MG
Mais no link:https://t.co/C2XoKBunJs",NEUTRO
0,1,0,1,1,3,0,0,0.0,0.0,13.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,iClinic | Jovem Aprendiz em Finanças - Remoto - Cmio - https://t.co/0wN77l4z2M #TrabalhoRemoto,NEUTRO
0,0,0,0,1,9,0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"comecei a trampar 100% remoto e percebi que a única coisa que sinto falta do presencial é de ver os amigos pessoalmente no trabalho, mas isso resolve marcando boteco kkkkkkk",POSITIVO
0,0,0,1,1,6,0,0,0.0,0.0,37.0,7.0,3.0,21.0,0.0,0.0,0.0,0.0,6.0,"8070-Conteúdo apresentado por Uber para Empresas

A gestão de RH foi transformada pela tendência do trabalho remoto. De acordo com um levantamento realizado em 2022 pela consultoria IDC Brasil, 56% das organizações do país atuam ne…https://t.co/jHBpgcQ8RZ https://t.co/OzQ1AYiqkQ",NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,24.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,"Das vantagens do trabalho remoto: trabalhar na casa do boy enquanto ele não tá, usando o monitor e a cadeira dele 🙇🏻‍♀️ rsrs https://t.co/Op1JlXGaap",POSITIVO
0,1,0,1,0,0,0,0,0.0,0.0,14.0,5.0,1.0,19.0,0.0,0.0,0.0,0.0,6.0,Gerente Comercial - Umuarama/PR - Remoto - Cmio - https://t.co/KfPBeBxN3Y #PR #Sul #TrabalhoRemoto #Umuarama,NEGATIVO
0,0,1,0,0,0,0,0,0.0,0.0,36.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,@realpfigueiredo Você é o famoso BUNDÃO que sofreu bulling na adolescência por ter tido uma criação ridícula e autoritária. E agora tem que se esconder por trás de home office para propagar fake news e desinformação.,NEGATIVO
0,0,0,1,1,5,0,0,0.0,0.0,50.0,11.0,7.0,23.0,0.0,0.0,0.0,0.0,4.0,"Privacidade e proteção de dados com a cara do nosso país: graças ao trabalho remoto, também deixamos de ser uma baseada em SP e incorporamos ao time pessoas de POA, DF, BA, MG, RJ e diversas outras cidades, do Sul ao Nordeste. O Brasil do nosso nome ganhou lastro. https://t.co/sQPlaBv2NA",NEUTRO
0,0,0,0,0,0,0,0,1.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,"Não era pra ir presencial e sim no home ofice, sou um palhaço 😆",POSITIVO
0,0,0,0,1,11,0,0,0.0,0.0,22.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,5.0,"ridículo kkkkkkkkkkk tanta tecnologia, tanto trabalho, quase 3 anos de pandemia em que nos acostumamos com trabalho remoto, pro CNJ falar ISSO",NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Eu amo trabalhar de home office,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,A revolução de quem não quer perder o emprego é dizer que está doente para trabalhar em home office.,POSITIVO
0,0,1,0,1,4,0,0,0.0,0.0,50.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,"@cyberhermitt Entendo e tenho certeza q vc deveria tirar 20 dias pelo menos, resetar o cérebro. Mas também sei que não adianta opinar 😂
Mas já que vc tá em home office, aproveita para pegar uns dias, pelo menos... Pezinho na areia, camarão e vodka só enaltecem o ser humano",POSITIVO
0,0,0,1,0,0,0,0,0.0,0.0,26.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,Rachel chegou ao Benim no final da sua viagem de cinco meses de trabalho remoto. A viagem estava a ser uma extraordinária jornada de autodescoberta https://t.co/aflsMaf8Gv,NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,14.0,8.0,2.0,15.0,0.0,0.0,0.0,0.0,6.0,"nova
FCJ Venture Builder

Trabalho remoto in Rio de Janeiro, RJ
Mais no link:https://t.co/iIs4ctJTpH",NEUTRO
0,0,0,1,1,4,0,0,0.0,0.0,16.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,Catho tem 9 mil vagas abertas para trabalho remoto em Minas e outros Estados https://t.co/skvj5DOtwO https://t.co/sTlJBNJpzH,NEUTRO
0,0,0,0,1,4,0,0,0.0,0.0,49.0,8.0,3.0,26.0,0.0,0.0,0.0,0.0,4.0,"12/12 - Quebra-quebra generalizado e até carros pegando fogo ao lado do trabalho
24/12 - Bomba no aeroporto
25/12 - Suspeita de bomba no Gama
27/12 - Bomba no shopping ao lado do trabalho
28/12 - ""Pedimos que façam home office por questões de segurança""

QUE CLIMINHA AGRADÁVEL 💣",POSITIVO
0,0,1,0,1,7,0,0,0.0,0.0,40.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,"@JoanaRSSousa @joaotiberio Na empresa onde trabalho existia efectivamente uma cultura. Havia uma forma de trabalhar agradável e em constante colaboração.

Com o remoto, isso desapareceu praticamente na totalidade. 

Além disso, nestes 2 anos entraram inúmeras pessoas que nunca sentiram isso.",NEGATIVO
0,0,0,1,0,0,0,0,0.0,0.0,13.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,Pesquisa Datafolha revela que 52% dos brasileiros preferem trabalho remoto ou híbrido https://t.co/efZixAKYZH,POSITIVO
0,0,1,0,1,4,1,0,0.0,0.0,37.0,11.0,1.0,15.0,1.0,0.0,0.0,0.0,5.0,"@CNNBrasil E o Sérgio Cabral, o Gedel, o Dirceu, ficaram de fora? Cabral pode trabalhar em Home Office. Gedel no apartamento dos milhões e o Dirceu, embaixador para assuntos democráticos e de liberdade de expressão, em Cuba.",NEUTRO
0,0,1,1,0,0,0,0,0.0,0.0,10.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,Globo abre vagas para trabalho remoto ou presencial @HoraBrNoticias https://t.co/VIyJbiaG3C,NEUTRO
0,0,0,1,1,5,0,0,0.0,0.0,7.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,"nova
https://t.co/x4C5pSCigI

Trabalho remoto
Mais no link:https://t.co/egdDOYxr5B",NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,"Trabalho remoto amanhã na aleac, eu nunca fui triste",POSITIVO
0,0,0,1,1,5,0,0,0.0,0.0,15.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,8.0,"Desenvolvedor full stack junior/pleno
Netvagas - (4157701230)

Trabalho remoto in Florianópolis, SC
Mais no link:https://t.co/dQErHPN0W3",NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Oportunidade de trabalho remoto,NEUTRO
0,0,0,1,1,4,1,0,0.0,0.0,12.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,8.0,Como a tecnologia pode otimizar a produtividade do trabalho remoto? https://t.co/nLZRU1g61Z https://t.co/C9Cr30zfPC,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,20.0,6.0,6.0,23.0,0.0,0.0,0.0,0.0,5.0,"""Trabalho remoto, mas a pessoa deve ter disponibilidade 2x na semana para reuniões presenciais""

ENTÃO NÃO É REMOTO NÉ CARAI",NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,sentirei falta do homeofice,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,15.0,11.0,1.0,17.0,0.0,0.0,0.0,0.0,7.0,"Analista Desenvolvedor Fullstack Jr.
Talent Group

Trabalho remoto in São Paulo, SP
Mais no link:https://t.co/x2DbQNijAJ",NEUTRO
